competencia_id,ciclo_siglas,orden_global,etapa,bloque,modulo_codigo,modulo_nombre,titulo,descripcion,nivel_objetivo,obligatoria_roadmap_base,basico_antes_de_empezar,horas_estimadas,prerrequisitos_ids,criterios_superacion,evidencia_minima,umbral_superacion,aplicable_a,fuente_titulo_url,fuente_curriculo_url,tipo_criterio,ultima_revision
DAW-PRO-001,DAW,11,1_fundamentos,Programación,0485,Programación,"Programar con variables, decisiones y bucles","Construye programas de consola con entrada, validación, control de flujo y salida.",1,sí,no,28,DAW-BAS-003,Usa tipos de datos y operadores adecuados || Resuelve decisiones y repeticiones sin bucles infinitos || Valida entradas y prueba casos límite,Tres programas de consola con casos de prueba,80 % de casos de prueba superados,formación|proyecto|empleo|oportunidad,https://www.juntadeandalucia.es/educacion/portals/web/formacion-profesional-andaluza/cf-grado-superior-detalle-titulo?backURL=%2Feducacion%2Fportals%2Fweb%2Fformacion-profesional-andaluza%2Fgrado-superior-catalogo-de-titulos&idTitulo=2292,https://www.juntadeandalucia.es/boja/2011/149/23,criterio_operativo_AL_LIO_alineado_al_modulo,2026-08-04
DAW-PRO-002,DAW,12,1_fundamentos,Programación,0485,Programación,Diseñar funciones y trabajar con colecciones,"Divide el problema en funciones, maneja arrays o colecciones y evita duplicación.",1,sí,no,24,DAW-PRO-001,"Separa responsabilidades en funciones pequeñas || Recorre y transforma colecciones correctamente || Gestiona búsquedas, ordenación o agregación básica",Aplicación de consola modular con colección de objetos o datos,Código sin duplicación relevante y pruebas mínimas,formación|proyecto|empleo|oportunidad,https://www.juntadeandalucia.es/educacion/portals/web/formacion-profesional-andaluza/cf-grado-superior-detalle-titulo?backURL=%2Feducacion%2Fportals%2Fweb%2Fformacion-profesional-andaluza%2Fgrado-superior-catalogo-de-titulos&idTitulo=2292,https://www.juntadeandalucia.es/boja/2011/149/23,criterio_operativo_AL_LIO_alineado_al_modulo,2026-08-04
DAW-PRO-003,DAW,13,1_fundamentos,Programación,0485,Programación,Aplicar programación orientada a objetos,"Modela clases, encapsula estado, usa composición, herencia solo cuando aporta valor e interfaces.",2,sí,no,32,DAW-PRO-002,Define clases con responsabilidades claras || Protege invariantes mediante encapsulación || Usa composición o interfaces y justifica el diseño,Proyecto orientado a objetos con diagrama y README,Cumple requisitos funcionales y no expone estado crítico,formación|proyecto|empleo|oportunidad,https://www.juntadeandalucia.es/educacion/portals/web/formacion-profesional-andaluza/cf-grado-superior-detalle-titulo?backURL=%2Feducacion%2Fportals%2Fweb%2Fformacion-profesional-andaluza%2Fgrado-superior-catalogo-de-titulos&idTitulo=2292,https://www.juntadeandalucia.es/boja/2011/149/23,criterio_operativo_AL_LIO_alineado_al_modulo,2026-08-04
DAW-PRO-004,DAW,14,1_fundamentos,Programación,0485,Programación,"Gestionar errores, ficheros y pruebas","Controla excepciones, persiste información simple y escribe pruebas automatizadas básicas.",2,sí,no,24,DAW-PRO-003,Maneja errores sin ocultarlos ni bloquear la aplicación || Lee y escribe datos de forma segura || Incluye pruebas para lógica importante y casos límite,Repositorio con pruebas y tratamiento de errores,Pruebas principales en verde y errores documentados,formación|proyecto|empleo|oportunidad,https://www.juntadeandalucia.es/educacion/portals/web/formacion-profesional-andaluza/cf-grado-superior-detalle-titulo?backURL=%2Feducacion%2Fportals%2Fweb%2Fformacion-profesional-andaluza%2Fgrado-superior-catalogo-de-titulos&idTitulo=2292,https://www.juntadeandalucia.es/boja/2011/149/23,criterio_operativo_AL_LIO_alineado_al_modulo,2026-08-04
DAW-LM-001,DAW,15,1_fundamentos,Lenguajes de marcas,0373,Lenguajes de marcas y sistemas de gestión de información,Estructurar información con lenguajes de marcas,"Crea documentos HTML, XML o JSON válidos, bien estructurados y transformables.",1,sí,no,16,DAW-BAS-004,"Usa estructura semántica y validable || Diferencia HTML, XML y JSON y sus casos de uso || Interpreta o genera datos estructurados",Conjunto de documentos validados y ejemplo de consumo,Sin errores estructurales graves,formación|proyecto|empleo|oportunidad,https://www.juntadeandalucia.es/educacion/portals/web/formacion-profesional-andaluza/cf-grado-superior-detalle-titulo?backURL=%2Feducacion%2Fportals%2Fweb%2Fformacion-profesional-andaluza%2Fgrado-superior-catalogo-de-titulos&idTitulo=2292,https://www.juntadeandalucia.es/boja/2011/149/23,criterio_operativo_AL_LIO_alineado_al_modulo,2026-08-04
DAW-LM-002,DAW,16,1_fundamentos,Lenguajes de marcas,0373,Lenguajes de marcas y sistemas de gestión de información,Presentar información de forma responsive,"Aplica CSS, layout, tipografía y adaptación a móvil con una jerarquía clara.",1,sí,no,20,DAW-LM-001,"Construye un layout con Flexbox o Grid || Se adapta a móvil, tableta y escritorio || Mantiene contraste, legibilidad y consistencia visual",Landing responsive publicada o capturas multiformato,Sin desbordes y con jerarquía visual comprensible,formación|proyecto|empleo|oportunidad,https://www.juntadeandalucia.es/educacion/portals/web/formacion-profesional-andaluza/cf-grado-superior-detalle-titulo?backURL=%2Feducacion%2Fportals%2Fweb%2Fformacion-profesional-andaluza%2Fgrado-superior-catalogo-de-titulos&idTitulo=2292,https://www.juntadeandalucia.es/boja/2011/149/23,criterio_operativo_AL_LIO_alineado_al_modulo,2026-08-04
DAW-ED-001,DAW,17,1_fundamentos,Entornos de desarrollo,0487,Entornos de desarrollo,Usar Git y un flujo de trabajo colaborativo,"Versiona código con commits útiles, ramas, pull requests y resolución básica de conflictos.",1,sí,no,16,DAW-BAS-001,Crea repositorio y commits atómicos con mensajes claros || Trabaja en una rama y abre un pull request || Resuelve un conflicto sencillo sin perder trabajo,"Repositorio con historial, rama y pull request",Historial comprensible y PR revisable,formación|proyecto|empleo|oportunidad,https://www.juntadeandalucia.es/educacion/portals/web/formacion-profesional-andaluza/cf-grado-superior-detalle-titulo?backURL=%2Feducacion%2Fportals%2Fweb%2Fformacion-profesional-andaluza%2Fgrado-superior-catalogo-de-titulos&idTitulo=2292,https://www.juntadeandalucia.es/boja/2011/149/23,criterio_operativo_AL_LIO_alineado_al_modulo,2026-08-04
DAW-ED-002,DAW,18,1_fundamentos,Entornos de desarrollo,0487,Entornos de desarrollo,"Depurar, automatizar y mantener calidad","Configura IDE, formateo, análisis estático, pruebas y una integración continua básica.",2,sí,no,18,DAW-ED-001|DAW-PRO-004,Usa puntos de ruptura e inspección de variables || Configura formato o lint reproducible || Ejecuta pruebas automáticamente en cada cambio relevante,Repositorio con configuración y workflow de pruebas,Pipeline correcto y error reproducible cuando falla una prueba,formación|proyecto|empleo|oportunidad,https://www.juntadeandalucia.es/educacion/portals/web/formacion-profesional-andaluza/cf-grado-superior-detalle-titulo?backURL=%2Feducacion%2Fportals%2Fweb%2Fformacion-profesional-andaluza%2Fgrado-superior-catalogo-de-titulos&idTitulo=2292,https://www.juntadeandalucia.es/boja/2011/149/23,criterio_operativo_AL_LIO_alineado_al_modulo,2026-08-04
DAW-DIG-001,DAW,19,2_aplicacion,Digitalización,1665,Digitalización aplicada a los sectores productivos,"Analizar digitalización, datos e IA de forma responsable","Identifica procesos digitalizables, riesgos, métricas y límites de automatización o IA.",1,sí,no,10,DAW-BAS-004,"Modela un proceso antes y después de digitalizarlo || Identifica datos, riesgos y controles || Justifica cuándo una automatización o IA aporta valor",Mapa de proceso y ficha de riesgos,"Problema, datos, impacto y controles claramente definidos",formación|proyecto|empleo|oportunidad,https://www.juntadeandalucia.es/educacion/portals/web/formacion-profesional-andaluza/cf-grado-superior-detalle-titulo?backURL=%2Feducacion%2Fportals%2Fweb%2Fformacion-profesional-andaluza%2Fgrado-superior-catalogo-de-titulos&idTitulo=2292,https://www.juntadeandalucia.es/boja/2011/149/23,criterio_operativo_AL_LIO_alineado_al_modulo,2026-08-04
DAW-SUS-001,DAW,20,2_aplicacion,Sostenibilidad,1708,Sostenibilidad aplicada al sistema productivo,Aplicar sostenibilidad al desarrollo y operación,"Evalúa consumo, ciclo de vida, accesibilidad, mantenimiento y reducción de desperdicio digital.",1,sí,no,8,DAW-SI-001,Identifica impactos ambientales y sociales de una solución || Propone medidas medibles de mejora || Incluye mantenimiento y fin de vida de datos o infraestructura,Checklist de sostenibilidad aplicado a un proyecto,Incluye al menos 3 mejoras verificables,formación|proyecto|empleo|oportunidad,https://www.juntadeandalucia.es/educacion/portals/web/formacion-profesional-andaluza/cf-grado-superior-detalle-titulo?backURL=%2Feducacion%2Fportals%2Fweb%2Fformacion-profesional-andaluza%2Fgrado-superior-catalogo-de-titulos&idTitulo=2292,https://www.juntadeandalucia.es/boja/2011/149/23,criterio_operativo_AL_LIO_alineado_al_modulo,2026-08-04
DAW-ENG-001,DAW,21,2_aplicacion,Inglés profesional,0179,Inglés profesional (GS),Leer y comunicar información técnica en inglés,"Comprende documentación, incidencias y mensajes técnicos y redacta textos breves profesionales.",1,sí,no,16,DAW-BAS-005,Resume documentación técnica en español || Redacta un issue o README breve en inglés || Explica oralmente una incidencia o decisión técnica,README o issue bilingüe,Mensaje comprensible sin errores que impidan la acción,formación|proyecto|empleo|oportunidad,https://www.juntadeandalucia.es/educacion/portals/web/formacion-profesional-andaluza/cf-grado-superior-detalle-titulo?backURL=%2Feducacion%2Fportals%2Fweb%2Fformacion-profesional-andaluza%2Fgrado-superior-catalogo-de-titulos&idTitulo=2292,https://www.juntadeandalucia.es/boja/2011/149/23,criterio_operativo_AL_LIO_alineado_al_modulo,2026-08-04
DAW-EMP-001,DAW,22,3_empleabilidad,Empleabilidad,1709|1710,Itinerario personal para la empleabilidad I y II,Preparar perfil profesional y candidatura,"Presenta proyectos, adapta CV, analiza ofertas y trabaja con comunicación profesional.",2,sí,no,16,DAW-ED-001|DAW-BAS-005,CV adaptado a un puesto concreto || Perfil GitHub o portfolio con dos evidencias explicadas || Matriz de requisitos y brechas de tres ofertas,"CV, perfil y matriz de brechas",Documentos actualizados y adaptados a un objetivo real,empleo|prácticas|beca|formación_en_empresa,https://www.juntadeandalucia.es/educacion/portals/web/formacion-profesional-andaluza/cf-grado-superior-detalle-titulo?backURL=%2Feducacion%2Fportals%2Fweb%2Fformacion-profesional-andaluza%2Fgrado-superior-catalogo-de-titulos&idTitulo=2292,https://www.juntadeandalucia.es/boja/2011/149/23,criterio_operativo_AL_LIO_alineado_al_modulo,2026-08-04
DAW-PRJ-001,DAW,23,4_proyecto,Proyecto intermodular,PROY,Proyecto intermodular,Planificar y entregar un proyecto integrador,"Define problema, alcance, requisitos, arquitectura, datos, pruebas, despliegue y documentación.",3,sí,no,50,DAW-ED-002|DAW-BD-002|DAW-PRO-004,"El alcance y los criterios de aceptación están definidos || La solución funciona y está versionada || Incluye pruebas, documentación y una demo reproducible","Repositorio, demo, README, pruebas y presentación",Cumple criterios de aceptación y se reproduce desde cero,proyecto|hackathon|portfolio|formación_en_empresa,https://www.juntadeandalucia.es/educacion/portals/web/formacion-profesional-andaluza/cf-grado-superior-detalle-titulo?backURL=%2Feducacion%2Fportals%2Fweb%2Fformacion-profesional-andaluza%2Fgrado-superior-catalogo-de-titulos&idTitulo=2292,https://www.juntadeandalucia.es/boja/2011/149/23,criterio_operativo_AL_LIO_alineado_al_modulo,2026-08-04
DAW-PRJ-002,DAW,24,4_proyecto,Proyecto intermodular,PROY,Proyecto intermodular,Presentar y defender una solución,"Expone problema, usuario, decisiones, demo, resultados, límites y siguientes pasos.",3,sí,no,8,DAW-PRJ-001|DAW-EMP-001,Pitch de 3 a 5 minutos con estructura || Demo sin depender de pasos improvisados || Responde preguntas técnicas y reconoce límites,Vídeo de pitch o presentación en directo,"Mensaje claro, demo funcional y respuestas coherentes",hackathon|evento|proyecto|entrevista,https://www.juntadeandalucia.es/educacion/portals/web/formacion-profesional-andaluza/cf-grado-superior-detalle-titulo?backURL=%2Feducacion%2Fportals%2Fweb%2Fformacion-profesional-andaluza%2Fgrado-superior-catalogo-de-titulos&idTitulo=2292,https://www.juntadeandalucia.es/boja/2011/149/23,criterio_operativo_AL_LIO_alineado_al_modulo,2026-08-04
DAW-CLI-001,DAW,25,2_aplicacion,Desarrollo web cliente,0612,Desarrollo web en entorno cliente,Programar interacción con JavaScript en el navegador,"Manipula DOM, eventos, formularios, módulos y almacenamiento local sin acoplamiento innecesario.",2,sí,no,28,DAW-PRO-002|DAW-LM-002,Manipula contenido y eventos sin recargas innecesarias || Valida formularios y muestra errores accesibles || Organiza código en módulos y evita variables globales,Aplicación web interactiva con formularios y estado local,Flujo principal y errores controlados,formación|proyecto|empleo|oportunidad,https://www.juntadeandalucia.es/educacion/portals/web/formacion-profesional-andaluza/cf-grado-superior-detalle-titulo?backURL=%2Feducacion%2Fportals%2Fweb%2Fformacion-profesional-andaluza%2Fgrado-superior-catalogo-de-titulos&idTitulo=2292,https://www.juntadeandalucia.es/boja/2011/149/23,criterio_operativo_AL_LIO_alineado_al_modulo,2026-08-04
DAW-CLI-002,DAW,26,2_aplicacion,Desarrollo web cliente,0612,Desarrollo web en entorno cliente,Consumir APIs y gestionar asincronía,"Realiza peticiones HTTP, controla carga, error y cancelación y transforma respuestas.",2,sí,no,24,DAW-CLI-001|DAW-BAS-004,"Consume una API con estados de carga, éxito y error || Valida y transforma la respuesta antes de mostrarla || Evita exponer claves y documenta límites de la API",Cliente web conectado a una API pública o propia,Todos los estados visibles y errores recuperables,formación|proyecto|empleo|oportunidad,https://www.juntadeandalucia.es/educacion/portals/web/formacion-profesional-andaluza/cf-grado-superior-detalle-titulo?backURL=%2Feducacion%2Fportals%2Fweb%2Fformacion-profesional-andaluza%2Fgrado-superior-catalogo-de-titulos&idTitulo=2292,https://www.juntadeandalucia.es/boja/2011/149/23,criterio_operativo_AL_LIO_alineado_al_modulo,2026-08-04
DAW-CLI-003,DAW,27,2_aplicacion,Desarrollo web cliente,0612,Desarrollo web en entorno cliente,Construir interfaces basadas en componentes,"Divide la interfaz en componentes, gestiona estado y navegación y evita duplicación.",3,sí,no,30,DAW-CLI-002|DAW-ED-002,Los componentes tienen responsabilidades claras || El estado se ubica en el nivel adecuado || La navegación y formularios mantienen consistencia,Aplicación de varias vistas con componentes reutilizables,Flujos principales sin estado incoherente,formación|proyecto|empleo|oportunidad,https://www.juntadeandalucia.es/educacion/portals/web/formacion-profesional-andaluza/cf-grado-superior-detalle-titulo?backURL=%2Feducacion%2Fportals%2Fweb%2Fformacion-profesional-andaluza%2Fgrado-superior-catalogo-de-titulos&idTitulo=2292,https://www.juntadeandalucia.es/boja/2011/149/23,criterio_operativo_AL_LIO_alineado_al_modulo,2026-08-04
DAW-SRV-001,DAW,28,2_aplicacion,Desarrollo web servidor,0613,Desarrollo web en entorno servidor,"Crear rutas, validación y lógica de servidor","Implementa endpoints o controladores, valida datos y separa presentación, negocio y persistencia.",2,sí,no,30,DAW-PRO-003|DAW-BD-002|DAW-BAS-004,Define rutas y métodos HTTP coherentes || Valida entrada en servidor y devuelve errores útiles || Separa reglas de negocio de acceso a datos,Backend con CRUD validado y documentación de endpoints,Casos correctos e incorrectos probados,formación|proyecto|empleo|oportunidad,https://www.juntadeandalucia.es/educacion/portals/web/formacion-profesional-andaluza/cf-grado-superior-detalle-titulo?backURL=%2Feducacion%2Fportals%2Fweb%2Fformacion-profesional-andaluza%2Fgrado-superior-catalogo-de-titulos&idTitulo=2292,https://www.juntadeandalucia.es/boja/2011/149/23,criterio_operativo_AL_LIO_alineado_al_modulo,2026-08-04
DAW-SRV-002,DAW,29,2_aplicacion,Desarrollo web servidor,0613,Desarrollo web en entorno servidor,Implementar autenticación y autorización seguras,"Gestiona identidad, sesiones o tokens, roles, contraseñas y protección de rutas.",3,sí,no,24,DAW-SRV-001|DAW-SI-002,"Las contraseñas no se almacenan en claro || Las rutas verifican identidad y permisos || Se controlan sesión, expiración y errores sin filtrar secretos","Aplicación con login, roles y pruebas de acceso",Un usuario no autorizado no accede a recursos protegidos,formación|proyecto|empleo|oportunidad,https://www.juntadeandalucia.es/educacion/portals/web/formacion-profesional-andaluza/cf-grado-superior-detalle-titulo?backURL=%2Feducacion%2Fportals%2Fweb%2Fformacion-profesional-andaluza%2Fgrado-superior-catalogo-de-titulos&idTitulo=2292,https://www.juntadeandalucia.es/boja/2011/149/23,criterio_operativo_AL_LIO_alineado_al_modulo,2026-08-04
DAW-SRV-003,DAW,30,2_aplicacion,Desarrollo web servidor,0613,Desarrollo web en entorno servidor,Persistir datos y exponer una API mantenible,"Integra base de datos, migraciones, transacciones, paginación y documentación de API.",3,sí,no,30,DAW-SRV-001|DAW-BD-003,"Usa migraciones o scripts reproducibles || Gestiona relaciones y transacciones críticas || Documenta contrato, paginación y errores",API persistente con esquema y colección de pruebas,Datos consistentes y contrato reproducible,formación|proyecto|empleo|oportunidad,https://www.juntadeandalucia.es/educacion/portals/web/formacion-profesional-andaluza/cf-grado-superior-detalle-titulo?backURL=%2Feducacion%2Fportals%2Fweb%2Fformacion-profesional-andaluza%2Fgrado-superior-catalogo-de-titulos&idTitulo=2292,https://www.juntadeandalucia.es/boja/2011/149/23,criterio_operativo_AL_LIO_alineado_al_modulo,2026-08-04
DAW-DEP-001,DAW,31,2_aplicacion,Despliegue,0614,Despliegue de aplicaciones web,Desplegar una aplicación web con configuración segura,"Configura dominio, HTTPS, variables de entorno, servidor y observabilidad básica.",3,sí,no,24,DAW-SRV-001|DAW-SI-002,La aplicación es accesible por HTTPS || Los secretos se gestionan fuera del repositorio || Existe procedimiento de despliegue y reversión,URL de demo y guía de despliegue,Despliegue reproducible sin secretos expuestos,formación|proyecto|empleo|oportunidad,https://www.juntadeandalucia.es/educacion/portals/web/formacion-profesional-andaluza/cf-grado-superior-detalle-titulo?backURL=%2Feducacion%2Fportals%2Fweb%2Fformacion-profesional-andaluza%2Fgrado-superior-catalogo-de-titulos&idTitulo=2292,https://www.juntadeandalucia.es/boja/2011/149/23,criterio_operativo_AL_LIO_alineado_al_modulo,2026-08-04
DAW-DEP-002,DAW,32,2_aplicacion,Despliegue,0614,Despliegue de aplicaciones web,Contenerizar y automatizar entrega,"Crea contenedores, servicios relacionados y pipeline de construcción, pruebas y despliegue.",3,sí,no,24,DAW-DEP-001|DAW-ED-002,La aplicación se inicia con un comando documentado || Los servicios usan configuración y volúmenes coherentes || El pipeline bloquea una entrega con pruebas fallidas,"Dockerfile, compose y workflow CI",Build limpio y arranque reproducible,formación|proyecto|empleo|oportunidad,https://www.juntadeandalucia.es/educacion/portals/web/formacion-profesional-andaluza/cf-grado-superior-detalle-titulo?backURL=%2Feducacion%2Fportals%2Fweb%2Fformacion-profesional-andaluza%2Fgrado-superior-catalogo-de-titulos&idTitulo=2292,https://www.juntadeandalucia.es/boja/2011/149/23,criterio_operativo_AL_LIO_alineado_al_modulo,2026-08-04
