prioridad_revision,ciclo_siglas,competencia_id,competencia_titulo,tipo_cobertura_actual,video_actual,youtube_url_actual,accion_editorial,ultima_revision
Media,TSAF,TSAF-GES-002,Diseñar y ejecutar un evento de actividad física,parcial_con_proyecto,"Curso completo de Google Drive: organizar, compartir y colaborar",https://www.youtube.com/watch?v=xBaRjZUVSgc,Buscar un vídeo individual más específico de fuente institucional o profesional y sustituir el recurso manteniendo la competencia_id.,2026-08-04
Media,TSAF,TSAF-SUS-001,Aplicar sostenibilidad a servicios deportivos,orientativa_requiere_actividad,"PhysioWods: movilidad, fisiología, gestión y comunicación profesional",https://www.youtube.com/playlist?list=PLU_3vrvW7HKenS14CstIF_H5fRvnBgi6z,Buscar un vídeo individual más específico de fuente institucional o profesional y sustituir el recurso manteniendo la competencia_id.,2026-08-04
Alta,TSAF,TSAF-ENG-001,Comprender instrucciones y recursos profesionales en inglés,practica_ingles_general,How to build a data layer,https://www.youtube.com/watch?v=P125nWICYps,Buscar un vídeo individual más específico de fuente institucional o profesional y sustituir el recurso manteniendo la competencia_id.,2026-08-04
Media,TSAF,TSAF-EMP-001,Preparar candidatura profesional en fitness y deporte,parcial_con_actividad,"Curso completo de Google Drive: organizar, compartir y colaborar",https://www.youtube.com/watch?v=xBaRjZUVSgc,Buscar un vídeo individual más específico de fuente institucional o profesional y sustituir el recurso manteniendo la competencia_id.,2026-08-04
Media,TSAF,TSAF-PRJ-002,Presentar y defender una propuesta de servicio,parcial_con_actividad,Kit de marca en Canva,https://www.youtube.com/watch?v=havARJ_ZQg8,Buscar un vídeo individual más específico de fuente institucional o profesional y sustituir el recurso manteniendo la competencia_id.,2026-08-04
Media,MP,MP-BAS-002,Redactar mensajes claros y orientados a una acción,parcial_con_redaccion,Cómo crear un buyer persona,https://www.youtube.com/watch?v=-xm2vgPHdHg,Buscar un vídeo individual más específico de fuente institucional o profesional y sustituir el recurso manteniendo la competencia_id.,2026-08-04
Media,MP,MP-BAS-004,"Evaluar fuentes y diferenciar dato, opinión e hipótesis",parcial_con_actividad,Google Analytics 4 Tutorial for Beginners,https://www.youtube.com/watch?v=mKu6FI53BxE,Buscar un vídeo individual más específico de fuente institucional o profesional y sustituir el recurso manteniendo la competencia_id.,2026-08-04
Media,MP,MP-CAM-001,Planificar y controlar trabajo de campo,parcial_con_actividad,"Curso completo de Google Drive: organizar, compartir y colaborar",https://www.youtube.com/watch?v=xBaRjZUVSgc,Buscar un vídeo individual más específico de fuente institucional o profesional y sustituir el recurso manteniendo la competencia_id.,2026-08-04
Media,MP,MP-CLI-001,"Atender consultas, quejas y reclamaciones",parcial_con_simulacion,HubSpot CRM para principiantes,https://www.youtube.com/watch?v=RXbOwk1l2T8,Buscar un vídeo individual más específico de fuente institucional o profesional y sustituir el recurso manteniendo la competencia_id.,2026-08-04
Media,MP,MP-DIS-002,Producir contenido audiovisual breve,parcial_requiere_edicion_video,Kit de marca en Canva,https://www.youtube.com/watch?v=havARJ_ZQg8,Buscar un vídeo individual más específico de fuente institucional o profesional y sustituir el recurso manteniendo la competencia_id.,2026-08-04
Media,MP,MP-RRPP-001,Planificar relaciones públicas y comunicación institucional,parcial_con_actividad,Cómo crear un buyer persona,https://www.youtube.com/watch?v=-xm2vgPHdHg,Buscar un vídeo individual más específico de fuente institucional o profesional y sustituir el recurso manteniendo la competencia_id.,2026-08-04
Media,MP,MP-EVT-001,Diseñar y evaluar un evento de marketing,parcial_con_proyecto,"Curso completo de Google Drive: organizar, compartir y colaborar",https://www.youtube.com/watch?v=xBaRjZUVSgc,Buscar un vídeo individual más específico de fuente institucional o profesional y sustituir el recurso manteniendo la competencia_id.,2026-08-04
Alta,MP,MP-LEG-001,"Aplicar privacidad, propiedad intelectual y publicidad responsable",parcial_requiere_normativa,HubSpot CRM para principiantes,https://www.youtube.com/watch?v=RXbOwk1l2T8,Buscar un vídeo individual más específico de fuente institucional o profesional y sustituir el recurso manteniendo la competencia_id.,2026-08-04
Media,MP,MP-SUS-001,Aplicar sostenibilidad a campañas y eventos,orientativa_con_actividad,"Curso completo de Google Drive: organizar, compartir y colaborar",https://www.youtube.com/watch?v=xBaRjZUVSgc,Buscar un vídeo individual más específico de fuente institucional o profesional y sustituir el recurso manteniendo la competencia_id.,2026-08-04
Media,MP,MP-ENG-001,Trabajar con briefs y comunicación de marketing en inglés,practica_ingles_marketing,Google Analytics 4 Tutorial for Beginners,https://www.youtube.com/watch?v=mKu6FI53BxE,Buscar un vídeo individual más específico de fuente institucional o profesional y sustituir el recurso manteniendo la competencia_id.,2026-08-04
Media,MP,MP-EMP-001,Construir portfolio y candidatura de marketing,parcial_con_actividad,Kit de marca en Canva,https://www.youtube.com/watch?v=havARJ_ZQg8,Buscar un vídeo individual más específico de fuente institucional o profesional y sustituir el recurso manteniendo la competencia_id.,2026-08-04
Media,MP,MP-PRJ-002,Presentar y defender una propuesta,parcial_con_presentacion,Kit de marca en Canva,https://www.youtube.com/watch?v=havARJ_ZQg8,Buscar un vídeo individual más específico de fuente institucional o profesional y sustituir el recurso manteniendo la competencia_id.,2026-08-04
Media,AF,AF-BAS-004,Redactar correos y comunicaciones profesionales,parcial_con_redaccion,"Curso completo de Google Drive: organizar, compartir y colaborar",https://www.youtube.com/watch?v=xBaRjZUVSgc,Buscar un vídeo individual más específico de fuente institucional o profesional y sustituir el recurso manteniendo la competencia_id.,2026-08-04
Media,AF,AF-BAS-005,"Proteger datos, credenciales y documentación",parcial_requiere_protocolo,"Curso completo de Google Drive: organizar, compartir y colaborar",https://www.youtube.com/watch?v=xBaRjZUVSgc,Buscar un vídeo individual más específico de fuente institucional o profesional y sustituir el recurso manteniendo la competencia_id.,2026-08-04
Media,AF,AF-JUR-001,Distinguir formas jurídicas y órganos de la empresa,orientativa_requiere_fuente_legal,HubSpot CRM para principiantes,https://www.youtube.com/watch?v=RXbOwk1l2T8,Buscar un vídeo individual más específico de fuente institucional o profesional y sustituir el recurso manteniendo la competencia_id.,2026-08-04
Media,AF,AF-JUR-002,Preparar trámites de constitución y documentación oficial,parcial_requiere_fuente_legal,"Curso completo de Google Drive: organizar, compartir y colaborar",https://www.youtube.com/watch?v=xBaRjZUVSgc,Buscar un vídeo individual más específico de fuente institucional o profesional y sustituir el recurso manteniendo la competencia_id.,2026-08-04
Media,AF,AF-RRHH-001,"Analizar organización, puestos y selección",orientativa_adaptada_rrhh,HubSpot CRM para principiantes,https://www.youtube.com/watch?v=RXbOwk1l2T8,Buscar un vídeo individual más específico de fuente institucional o profesional y sustituir el recurso manteniendo la competencia_id.,2026-08-04
Alta,AF,AF-RRHH-002,"Aplicar responsabilidad social, igualdad y protección",parcial_requiere_normativa,HubSpot CRM para principiantes,https://www.youtube.com/watch?v=RXbOwk1l2T8,Buscar un vídeo individual más específico de fuente institucional o profesional y sustituir el recurso manteniendo la competencia_id.,2026-08-04
Media,AF,AF-COM-002,Registrar el ciclo contable básico,parcial_con_caso_contable,Cómo crear una factura en Sage,https://www.youtube.com/watch?v=HgbxbpwhKXs,Buscar un vídeo individual más específico de fuente institucional o profesional y sustituir el recurso manteniendo la competencia_id.,2026-08-04
Media,AF,AF-CLI-001,"Atender y registrar consultas, quejas y reclamaciones",parcial_con_simulacion,HubSpot CRM para principiantes,https://www.youtube.com/watch?v=RXbOwk1l2T8,Buscar un vídeo individual más específico de fuente institucional o profesional y sustituir el recurso manteniendo la competencia_id.,2026-08-04
Alta,AF,AF-LAB-001,"Interpretar contratos, jornada y documentación laboral",parcial_requiere_normativa_laboral,"Curso completo de Google Drive: organizar, compartir y colaborar",https://www.youtube.com/watch?v=xBaRjZUVSgc,Buscar un vídeo individual más específico de fuente institucional o profesional y sustituir el recurso manteniendo la competencia_id.,2026-08-04
Alta,AF,AF-LAB-002,Calcular y revisar una nómina,parcial_requiere_normativa_laboral,Curso completo de Excel,https://www.youtube.com/watch?v=m8i4fMUCpK0,Buscar un vídeo individual más específico de fuente institucional o profesional y sustituir el recurso manteniendo la competencia_id.,2026-08-04
Media,AF,AF-CON-001,Completar el ciclo contable,parcial_con_caso_integral,Cómo crear una factura en Sage,https://www.youtube.com/watch?v=HgbxbpwhKXs,Buscar un vídeo individual más específico de fuente institucional o profesional y sustituir el recurso manteniendo la competencia_id.,2026-08-04
Alta,AF,AF-CON-002,Gestionar obligaciones fiscales básicas,parcial_requiere_normativa_fiscal,Así es VERI*FACTU,https://www.youtube.com/watch?v=jjwGyYH5ZSM,Buscar un vídeo individual más específico de fuente institucional o profesional y sustituir el recurso manteniendo la competencia_id.,2026-08-04
Media,AF,AF-LOG-002,Negociar y controlar compras,parcial_con_caso_compras,Curso completo de Excel,https://www.youtube.com/watch?v=m8i4fMUCpK0,Buscar un vídeo individual más específico de fuente institucional o profesional y sustituir el recurso manteniendo la competencia_id.,2026-08-04
Media,AF,AF-SUS-001,Aplicar sostenibilidad y calidad a procesos administrativos,orientativa_con_actividad,"Curso completo de Google Drive: organizar, compartir y colaborar",https://www.youtube.com/watch?v=xBaRjZUVSgc,Buscar un vídeo individual más específico de fuente institucional o profesional y sustituir el recurso manteniendo la competencia_id.,2026-08-04
Alta,AF,AF-ENG-001,Gestionar comunicaciones administrativas en inglés,practica_ingles_general,How to build a data layer,https://www.youtube.com/watch?v=P125nWICYps,Buscar un vídeo individual más específico de fuente institucional o profesional y sustituir el recurso manteniendo la competencia_id.,2026-08-04
Media,AF,AF-EMP-001,Preparar candidatura administrativa,parcial_con_actividad,"Curso completo de Google Drive: organizar, compartir y colaborar",https://www.youtube.com/watch?v=xBaRjZUVSgc,Buscar un vídeo individual más específico de fuente institucional o profesional y sustituir el recurso manteniendo la competencia_id.,2026-08-04
Media,AF,AF-PRJ-002,Presentar y defender una propuesta administrativa,parcial_con_presentacion,Kit de marca en Canva,https://www.youtube.com/watch?v=havARJ_ZQg8,Buscar un vídeo individual más específico de fuente institucional o profesional y sustituir el recurso manteniendo la competencia_id.,2026-08-04
