ciclo_siglas,competencia_origen_id,competencia_destino_id,tipo_relacion,obligatoria,motivo,ultima_revision
DAW,DAW-ED-002,DAW-DEP-002,prerrequisito,sí,"Depurar, automatizar y mantener calidad debe dominarse antes de Contenerizar y automatizar entrega.",2026-08-04
DAW,DAW-LM-002,DAW-UI-001,prerrequisito,sí,Presentar información de forma responsive debe dominarse antes de Diseñar experiencias usables y coherentes.,2026-08-04
DAW,DAW-LM-001,DAW-UI-002,prerrequisito,sí,Estructurar información con lenguajes de marcas debe dominarse antes de Aplicar accesibilidad web verificable.,2026-08-04
DAW,DAW-UI-001,DAW-UI-002,prerrequisito,sí,Diseñar experiencias usables y coherentes debe dominarse antes de Aplicar accesibilidad web verificable.,2026-08-04
DAW,DAW-CLI-002,DAW-UI-003,prerrequisito,sí,"Consumir APIs y gestionar asincronía debe dominarse antes de Optimizar rendimiento, SEO técnico y compatibilidad.",2026-08-04
DAW,DAW-UI-002,DAW-UI-003,prerrequisito,sí,"Aplicar accesibilidad web verificable debe dominarse antes de Optimizar rendimiento, SEO técnico y compatibilidad.",2026-08-04
DAM,DAM-BAS-001,DAM-BAS-002,prerrequisito,sí,"Gestionar archivos, carpetas y copias de seguridad debe dominarse antes de Usar terminal y comandos esenciales.",2026-08-04
DAM,DAM-BAS-003,DAM-BAS-004,prerrequisito,sí,Resolver problemas mediante algoritmos simples debe dominarse antes de Comprender cómo funciona una aplicación conectada.,2026-08-04
DAM,DAM-BAS-001,DAM-SI-001,prerrequisito,sí,"Gestionar archivos, carpetas y copias de seguridad debe dominarse antes de Instalar y configurar un sistema de trabajo.",2026-08-04
DAM,DAM-BAS-002,DAM-SI-001,prerrequisito,sí,Usar terminal y comandos esenciales debe dominarse antes de Instalar y configurar un sistema de trabajo.,2026-08-04
DAM,DAM-SI-001,DAM-SI-002,prerrequisito,sí,Instalar y configurar un sistema de trabajo debe dominarse antes de Aplicar red y seguridad básica.,2026-08-04
DAM,DAM-BAS-004,DAM-SI-002,prerrequisito,sí,Comprender cómo funciona una aplicación conectada debe dominarse antes de Aplicar red y seguridad básica.,2026-08-04
DAM,DAM-BAS-003,DAM-BD-001,prerrequisito,sí,Resolver problemas mediante algoritmos simples debe dominarse antes de Modelar datos relacionales.,2026-08-04
DAM,DAM-BD-001,DAM-BD-002,prerrequisito,sí,Modelar datos relacionales debe dominarse antes de Crear y consultar una base de datos con SQL.,2026-08-04
DAM,DAM-BD-002,DAM-BD-003,prerrequisito,sí,"Crear y consultar una base de datos con SQL debe dominarse antes de Mantener integridad, transacciones y acceso seguro.",2026-08-04
DAM,DAM-SI-002,DAM-BD-003,prerrequisito,sí,"Aplicar red y seguridad básica debe dominarse antes de Mantener integridad, transacciones y acceso seguro.",2026-08-04
DAM,DAM-BAS-003,DAM-PRO-001,prerrequisito,sí,"Resolver problemas mediante algoritmos simples debe dominarse antes de Programar con variables, decisiones y bucles.",2026-08-04
DAM,DAM-PRO-001,DAM-PRO-002,prerrequisito,sí,"Programar con variables, decisiones y bucles debe dominarse antes de Diseñar funciones y trabajar con colecciones.",2026-08-04
DAM,DAM-PRO-002,DAM-PRO-003,prerrequisito,sí,Diseñar funciones y trabajar con colecciones debe dominarse antes de Aplicar programación orientada a objetos.,2026-08-04
DAM,DAM-PRO-003,DAM-PRO-004,prerrequisito,sí,"Aplicar programación orientada a objetos debe dominarse antes de Gestionar errores, ficheros y pruebas.",2026-08-04
DAM,DAM-BAS-004,DAM-LM-001,prerrequisito,sí,Comprender cómo funciona una aplicación conectada debe dominarse antes de Estructurar información con lenguajes de marcas.,2026-08-04
DAM,DAM-LM-001,DAM-LM-002,prerrequisito,sí,Estructurar información con lenguajes de marcas debe dominarse antes de Presentar información de forma responsive.,2026-08-04
DAM,DAM-BAS-001,DAM-ED-001,prerrequisito,sí,"Gestionar archivos, carpetas y copias de seguridad debe dominarse antes de Usar Git y un flujo de trabajo colaborativo.",2026-08-04
DAM,DAM-ED-001,DAM-ED-002,prerrequisito,sí,"Usar Git y un flujo de trabajo colaborativo debe dominarse antes de Depurar, automatizar y mantener calidad.",2026-08-04
DAM,DAM-PRO-004,DAM-ED-002,prerrequisito,sí,"Gestionar errores, ficheros y pruebas debe dominarse antes de Depurar, automatizar y mantener calidad.",2026-08-04
DAM,DAM-BAS-004,DAM-DIG-001,prerrequisito,sí,"Comprender cómo funciona una aplicación conectada debe dominarse antes de Analizar digitalización, datos e IA de forma responsable.",2026-08-04
DAM,DAM-SI-001,DAM-SUS-001,prerrequisito,sí,Instalar y configurar un sistema de trabajo debe dominarse antes de Aplicar sostenibilidad al desarrollo y operación.,2026-08-04
DAM,DAM-BAS-005,DAM-ENG-001,prerrequisito,sí,Documentar errores y aprender mediante práctica debe dominarse antes de Leer y comunicar información técnica en inglés.,2026-08-04
DAM,DAM-ED-001,DAM-EMP-001,prerrequisito,sí,Usar Git y un flujo de trabajo colaborativo debe dominarse antes de Preparar perfil profesional y candidatura.,2026-08-04
DAM,DAM-BAS-005,DAM-EMP-001,prerrequisito,sí,Documentar errores y aprender mediante práctica debe dominarse antes de Preparar perfil profesional y candidatura.,2026-08-04
DAM,DAM-ED-002,DAM-PRJ-001,prerrequisito,sí,"Depurar, automatizar y mantener calidad debe dominarse antes de Planificar y entregar un proyecto integrador.",2026-08-04
DAM,DAM-BD-002,DAM-PRJ-001,prerrequisito,sí,Crear y consultar una base de datos con SQL debe dominarse antes de Planificar y entregar un proyecto integrador.,2026-08-04
DAM,DAM-PRO-004,DAM-PRJ-001,prerrequisito,sí,"Gestionar errores, ficheros y pruebas debe dominarse antes de Planificar y entregar un proyecto integrador.",2026-08-04
DAM,DAM-PRJ-001,DAM-PRJ-002,prerrequisito,sí,Planificar y entregar un proyecto integrador debe dominarse antes de Presentar y defender una solución.,2026-08-04
DAM,DAM-EMP-001,DAM-PRJ-002,prerrequisito,sí,Preparar perfil profesional y candidatura debe dominarse antes de Presentar y defender una solución.,2026-08-04
DAM,DAM-BD-003,DAM-AD-001,prerrequisito,sí,"Mantener integridad, transacciones y acceso seguro debe dominarse antes de Conectar aplicaciones a bases de datos.",2026-08-04
DAM,DAM-PRO-003,DAM-AD-001,prerrequisito,sí,Aplicar programación orientada a objetos debe dominarse antes de Conectar aplicaciones a bases de datos.,2026-08-04
DAM,DAM-AD-001,DAM-AD-002,prerrequisito,sí,Conectar aplicaciones a bases de datos debe dominarse antes de Gestionar persistencia avanzada y migraciones.,2026-08-04
DAM,DAM-ED-002,DAM-AD-002,prerrequisito,sí,"Depurar, automatizar y mantener calidad debe dominarse antes de Gestionar persistencia avanzada y migraciones.",2026-08-04
DAM,DAM-PRO-003,DAM-UI-001,prerrequisito,sí,Aplicar programación orientada a objetos debe dominarse antes de Construir interfaces de escritorio o multiplataforma.,2026-08-04
DAM,DAM-ED-002,DAM-UI-001,prerrequisito,sí,"Depurar, automatizar y mantener calidad debe dominarse antes de Construir interfaces de escritorio o multiplataforma.",2026-08-04
DAM,DAM-UI-001,DAM-UI-002,prerrequisito,sí,"Construir interfaces de escritorio o multiplataforma debe dominarse antes de Aplicar usabilidad, accesibilidad y empaquetado.",2026-08-04
DAM,DAM-PRO-003,DAM-MOB-001,prerrequisito,sí,Aplicar programación orientada a objetos debe dominarse antes de Crear una aplicación móvil con navegación y estado.,2026-08-04
DAM,DAM-UI-001,DAM-MOB-001,prerrequisito,sí,Construir interfaces de escritorio o multiplataforma debe dominarse antes de Crear una aplicación móvil con navegación y estado.,2026-08-04
DAM,DAM-MOB-001,DAM-MOB-002,prerrequisito,sí,"Crear una aplicación móvil con navegación y estado debe dominarse antes de Integrar datos, red y capacidades del dispositivo.",2026-08-04
DAM,DAM-AD-001,DAM-MOB-002,prerrequisito,sí,"Conectar aplicaciones a bases de datos debe dominarse antes de Integrar datos, red y capacidades del dispositivo.",2026-08-04
DAM,DAM-SI-002,DAM-MOB-002,prerrequisito,sí,"Aplicar red y seguridad básica debe dominarse antes de Integrar datos, red y capacidades del dispositivo.",2026-08-04
DAM,DAM-PRO-004,DAM-SP-001,prerrequisito,sí,"Gestionar errores, ficheros y pruebas debe dominarse antes de Programar procesos concurrentes de forma segura.",2026-08-04
DAM,DAM-SI-001,DAM-SP-001,prerrequisito,sí,Instalar y configurar un sistema de trabajo debe dominarse antes de Programar procesos concurrentes de forma segura.,2026-08-04
DAM,DAM-SP-001,DAM-SP-002,prerrequisito,sí,Programar procesos concurrentes de forma segura debe dominarse antes de Crear servicios de red y comunicación entre aplicaciones.,2026-08-04
DAM,DAM-BAS-004,DAM-SP-002,prerrequisito,sí,Comprender cómo funciona una aplicación conectada debe dominarse antes de Crear servicios de red y comunicación entre aplicaciones.,2026-08-04
DAM,DAM-SI-002,DAM-SP-002,prerrequisito,sí,Aplicar red y seguridad básica debe dominarse antes de Crear servicios de red y comunicación entre aplicaciones.,2026-08-04
DAM,DAM-BD-001,DAM-ERP-001,prerrequisito,sí,Modelar datos relacionales debe dominarse antes de Comprender e implantar procesos ERP y CRM.,2026-08-04
DAM,DAM-DIG-001,DAM-ERP-001,prerrequisito,sí,"Analizar digitalización, datos e IA de forma responsable debe dominarse antes de Comprender e implantar procesos ERP y CRM.",2026-08-04
DAM,DAM-ERP-001,DAM-ERP-002,prerrequisito,sí,Comprender e implantar procesos ERP y CRM debe dominarse antes de Extender e integrar un sistema empresarial.,2026-08-04
DAM,DAM-AD-002,DAM-ERP-002,prerrequisito,sí,Gestionar persistencia avanzada y migraciones debe dominarse antes de Extender e integrar un sistema empresarial.,2026-08-04
DAM,DAM-ED-001,DAM-ERP-002,prerrequisito,sí,Usar Git y un flujo de trabajo colaborativo debe dominarse antes de Extender e integrar un sistema empresarial.,2026-08-04
DAM,DAM-AD-002,DAM-ARC-001,prerrequisito,sí,Gestionar persistencia avanzada y migraciones debe dominarse antes de Diseñar una arquitectura multiplataforma mantenible.,2026-08-04
DAM,DAM-UI-002,DAM-ARC-001,prerrequisito,sí,"Aplicar usabilidad, accesibilidad y empaquetado debe dominarse antes de Diseñar una arquitectura multiplataforma mantenible.",2026-08-04
DAM,DAM-SP-002,DAM-ARC-001,prerrequisito,sí,Crear servicios de red y comunicación entre aplicaciones debe dominarse antes de Diseñar una arquitectura multiplataforma mantenible.,2026-08-04
TSAF,TSAF-BAS-002,TSAF-BAS-003,prerrequisito,sí,Reconocer anatomía y movimientos fundamentales debe dominarse antes de Comprender respuestas básicas al ejercicio.,2026-08-04
TSAF,TSAF-BAS-003,TSAF-VAL-001,prerrequisito,sí,Comprender respuestas básicas al ejercicio debe dominarse antes de Realizar entrevista inicial y cribado básico.,2026-08-04
TSAF,TSAF-BAS-005,TSAF-VAL-001,prerrequisito,sí,"Distinguir alcance profesional, derivación y consentimiento debe dominarse antes de Realizar entrevista inicial y cribado básico.",2026-08-04
TSAF,TSAF-VAL-001,TSAF-VAL-002,prerrequisito,sí,Realizar entrevista inicial y cribado básico debe dominarse antes de Aplicar pruebas básicas de condición física.,2026-08-04
TSAF,TSAF-BAS-002,TSAF-VAL-002,prerrequisito,sí,Reconocer anatomía y movimientos fundamentales debe dominarse antes de Aplicar pruebas básicas de condición física.,2026-08-04
TSAF,TSAF-VAL-002,TSAF-VAL-003,prerrequisito,sí,Aplicar pruebas básicas de condición física debe dominarse antes de Registrar y analizar evolución.,2026-08-04
TSAF,TSAF-BAS-001,TSAF-VAL-003,prerrequisito,sí,"Organizar archivos, formularios y hojas de cálculo debe dominarse antes de Registrar y analizar evolución.",2026-08-04
TSAF,TSAF-BAS-005,TSAF-AUX-001,prerrequisito,sí,"Distinguir alcance profesional, derivación y consentimiento debe dominarse antes de Actuar ante una emergencia y activar ayuda.",2026-08-04
TSAF,TSAF-AUX-001,TSAF-AUX-002,prerrequisito,sí,Actuar ante una emergencia y activar ayuda debe dominarse antes de Aplicar RCP básica y DEA.,2026-08-04
TSAF,TSAF-BAS-002,TSAF-FIT-001,prerrequisito,sí,Reconocer anatomía y movimientos fundamentales debe dominarse antes de Seleccionar ejercicios y enseñar técnica.,2026-08-04
TSAF,TSAF-VAL-001,TSAF-FIT-001,prerrequisito,sí,Realizar entrevista inicial y cribado básico debe dominarse antes de Seleccionar ejercicios y enseñar técnica.,2026-08-04
TSAF,TSAF-VAL-002,TSAF-FIT-002,prerrequisito,sí,"Aplicar pruebas básicas de condición física debe dominarse antes de Programar fuerza, resistencia y movilidad.",2026-08-04
TSAF,TSAF-FIT-001,TSAF-FIT-002,prerrequisito,sí,"Seleccionar ejercicios y enseñar técnica debe dominarse antes de Programar fuerza, resistencia y movilidad.",2026-08-04
TSAF,TSAF-FIT-002,TSAF-FIT-003,prerrequisito,sí,"Programar fuerza, resistencia y movilidad debe dominarse antes de Dirigir y adaptar una sesión individual.",2026-08-04
TSAF,TSAF-BAS-004,TSAF-FIT-003,prerrequisito,sí,Comunicar instrucciones de forma clara y segura debe dominarse antes de Dirigir y adaptar una sesión individual.,2026-08-04
TSAF,TSAF-BAS-003,TSAF-MUS-001,prerrequisito,sí,"Comprender respuestas básicas al ejercicio debe dominarse antes de Comprender ritmo, frase musical y estructura de sesión.",2026-08-04
TSAF,TSAF-BAS-004,TSAF-MUS-001,prerrequisito,sí,"Comunicar instrucciones de forma clara y segura debe dominarse antes de Comprender ritmo, frase musical y estructura de sesión.",2026-08-04
TSAF,TSAF-MUS-001,TSAF-MUS-002,prerrequisito,sí,"Comprender ritmo, frase musical y estructura de sesión debe dominarse antes de Diseñar coreografías por niveles.",2026-08-04
TSAF,TSAF-FIT-001,TSAF-MUS-002,prerrequisito,sí,Seleccionar ejercicios y enseñar técnica debe dominarse antes de Diseñar coreografías por niveles.,2026-08-04
TSAF,TSAF-MUS-002,TSAF-MUS-003,prerrequisito,sí,Diseñar coreografías por niveles debe dominarse antes de Dirigir una clase grupal especializada.,2026-08-04
TSAF,TSAF-BAS-004,TSAF-MUS-003,prerrequisito,sí,Comunicar instrucciones de forma clara y segura debe dominarse antes de Dirigir una clase grupal especializada.,2026-08-04
TSAF,TSAF-BAS-003,TSAF-AQU-001,prerrequisito,sí,Comprender respuestas básicas al ejercicio debe dominarse antes de Aplicar propiedades del medio acuático al ejercicio.,2026-08-04
TSAF,TSAF-AUX-001,TSAF-AQU-001,prerrequisito,sí,Actuar ante una emergencia y activar ayuda debe dominarse antes de Aplicar propiedades del medio acuático al ejercicio.,2026-08-04
TSAF,TSAF-AQU-001,TSAF-AQU-002,prerrequisito,sí,Aplicar propiedades del medio acuático al ejercicio debe dominarse antes de Programar y dirigir una sesión acuática.,2026-08-04
TSAF,TSAF-VAL-001,TSAF-AQU-002,prerrequisito,sí,Realizar entrevista inicial y cribado básico debe dominarse antes de Programar y dirigir una sesión acuática.,2026-08-04
TSAF,TSAF-AQU-001,TSAF-HID-001,prerrequisito,sí,Aplicar propiedades del medio acuático al ejercicio debe dominarse antes de Diseñar actividades de movilidad y bienestar en agua.,2026-08-04
TSAF,TSAF-BAS-005,TSAF-HID-001,prerrequisito,sí,"Distinguir alcance profesional, derivación y consentimiento debe dominarse antes de Diseñar actividades de movilidad y bienestar en agua.",2026-08-04
TSAF,TSAF-BAS-002,TSAF-POS-001,prerrequisito,sí,Reconocer anatomía y movimientos fundamentales debe dominarse antes de Analizar patrones posturales y funcionales sin diagnosticar.,2026-08-04
TSAF,TSAF-VAL-001,TSAF-POS-001,prerrequisito,sí,Realizar entrevista inicial y cribado básico debe dominarse antes de Analizar patrones posturales y funcionales sin diagnosticar.,2026-08-04
TSAF,TSAF-POS-001,TSAF-POS-002,prerrequisito,sí,"Analizar patrones posturales y funcionales sin diagnosticar debe dominarse antes de Programar movilidad, estabilidad y mantenimiento funcional.",2026-08-04
TSAF,TSAF-FIT-002,TSAF-POS-002,prerrequisito,sí,"Programar fuerza, resistencia y movilidad debe dominarse antes de Programar movilidad, estabilidad y mantenimiento funcional.",2026-08-04
TSAF,TSAF-VAL-001,TSAF-ESP-001,prerrequisito,sí,Realizar entrevista inicial y cribado básico debe dominarse antes de Adaptar actividad a personas mayores y colectivos diversos.,2026-08-04
TSAF,TSAF-FIT-001,TSAF-ESP-001,prerrequisito,sí,Seleccionar ejercicios y enseñar técnica debe dominarse antes de Adaptar actividad a personas mayores y colectivos diversos.,2026-08-04
TSAF,TSAF-BAS-005,TSAF-ESP-001,prerrequisito,sí,"Distinguir alcance profesional, derivación y consentimiento debe dominarse antes de Adaptar actividad a personas mayores y colectivos diversos.",2026-08-04
TSAF,TSAF-BAS-004,TSAF-SOC-001,prerrequisito,sí,"Comunicar instrucciones de forma clara y segura debe dominarse antes de Gestionar comunicación, motivación y conflictos.",2026-08-04
TSAF,TSAF-AUX-001,TSAF-GES-001,prerrequisito,sí,"Actuar ante una emergencia y activar ayuda debe dominarse antes de Organizar recursos, calidad y seguridad de una instalación.",2026-08-04
TSAF,TSAF-ESP-001,TSAF-GES-001,prerrequisito,sí,"Adaptar actividad a personas mayores y colectivos diversos debe dominarse antes de Organizar recursos, calidad y seguridad de una instalación.",2026-08-04
TSAF,TSAF-GES-001,TSAF-GES-002,prerrequisito,sí,"Organizar recursos, calidad y seguridad de una instalación debe dominarse antes de Diseñar y ejecutar un evento de actividad física.",2026-08-04
TSAF,TSAF-SOC-001,TSAF-GES-002,prerrequisito,sí,"Gestionar comunicación, motivación y conflictos debe dominarse antes de Diseñar y ejecutar un evento de actividad física.",2026-08-04
TSAF,TSAF-BAS-001,TSAF-DIG-001,prerrequisito,sí,"Organizar archivos, formularios y hojas de cálculo debe dominarse antes de Usar tecnología y datos en seguimiento sin invadir privacidad.",2026-08-04
TSAF,TSAF-VAL-003,TSAF-DIG-001,prerrequisito,sí,Registrar y analizar evolución debe dominarse antes de Usar tecnología y datos en seguimiento sin invadir privacidad.,2026-08-04
TSAF,TSAF-BAS-004,TSAF-ENG-001,prerrequisito,sí,Comunicar instrucciones de forma clara y segura debe dominarse antes de Comprender instrucciones y recursos profesionales en inglés.,2026-08-04
TSAF,TSAF-SOC-001,TSAF-EMP-001,prerrequisito,sí,"Gestionar comunicación, motivación y conflictos debe dominarse antes de Preparar candidatura profesional en fitness y deporte.",2026-08-04
TSAF,TSAF-FIT-003,TSAF-EMP-001,prerrequisito,sí,Dirigir y adaptar una sesión individual debe dominarse antes de Preparar candidatura profesional en fitness y deporte.,2026-08-04
TSAF,TSAF-VAL-003,TSAF-PRJ-001,prerrequisito,sí,Registrar y analizar evolución debe dominarse antes de Crear un programa integral de acondicionamiento físico.,2026-08-04
TSAF,TSAF-FIT-002,TSAF-PRJ-001,prerrequisito,sí,"Programar fuerza, resistencia y movilidad debe dominarse antes de Crear un programa integral de acondicionamiento físico.",2026-08-04
TSAF,TSAF-GES-001,TSAF-PRJ-001,prerrequisito,sí,"Organizar recursos, calidad y seguridad de una instalación debe dominarse antes de Crear un programa integral de acondicionamiento físico.",2026-08-04
TSAF,TSAF-SOC-001,TSAF-PRJ-001,prerrequisito,sí,"Gestionar comunicación, motivación y conflictos debe dominarse antes de Crear un programa integral de acondicionamiento físico.",2026-08-04
TSAF,TSAF-PRJ-001,TSAF-PRJ-002,prerrequisito,sí,Crear un programa integral de acondicionamiento físico debe dominarse antes de Presentar y defender una propuesta de servicio.,2026-08-04
TSAF,TSAF-EMP-001,TSAF-PRJ-002,prerrequisito,sí,Preparar candidatura profesional en fitness y deporte debe dominarse antes de Presentar y defender una propuesta de servicio.,2026-08-04
MP,MP-BAS-002,MP-BAS-005,prerrequisito,sí,"Redactar mensajes claros y orientados a una acción debe dominarse antes de Comprender cliente, problema y modelo de negocio.",2026-08-04
MP,MP-BAS-003,MP-FIN-001,prerrequisito,sí,"Calcular porcentajes, costes y métricas básicas debe dominarse antes de Interpretar costes, presupuestos y viabilidad.",2026-08-04
MP,MP-BAS-005,MP-FIN-001,prerrequisito,sí,"Comprender cliente, problema y modelo de negocio debe dominarse antes de Interpretar costes, presupuestos y viabilidad.",2026-08-04
MP,MP-FIN-001,MP-FIN-002,prerrequisito,sí,"Interpretar costes, presupuestos y viabilidad debe dominarse antes de Evaluar inversión y retorno de marketing.",2026-08-04
